ID;Block;Duration;Aligned;Target;Event;Time
s03;2;120;1;1;1;6890
s03;2;120;1;0;1;6901
s03;2;120;1;0;0;10890
s03;2;120;1;2;0;10937
s03;2;120;1;1;0;10960
s03;2;120;1;2;1;13207
s03;2;120;1;1;1;13219
s03;2;120;1;0;1;13231
s03;2;120;1;2;0;17030
s03;2;120;1;2;1;18713
s03;2;120;1;1;0;21406
s03;2;120;1;1;1;22960
s03;2;120;1;0;0;25583
s03;2;120;1;2;0;25936
s03;2;120;1;1;0;25959
s03;2;120;1;1;1;27524
s03;2;120;1;2;1;27571
s03;2;120;1;0;1;27583
s03;2;120;1;1;0;31583
s03;2;120;1;2;0;31665
s03;2;120;1;2;1;33735
s03;2;120;1;1;1;33772
s03;2;120;1;1;0;36477
s03;2;120;1;0;0;36488
s03;2;120;1;1;1;38430
s03;2;120;1;0;1;38477
s03;2;120;1;2;0;41700
s03;2;120;1;1;0;41712
s03;2;120;1;0;0;41747
s03;2;120;1;2;1;43383
s03;2;120;1;1;1;43397
s03;2;120;1;0;1;43406
s03;2;120;1;0;0;45899
s03;2;120;1;2;0;45947
s03;2;120;1;1;0;45971
s03;2;120;1;2;1;48065
s03;2;120;1;1;1;48076
s03;2;120;1;0;1;48100
s03;2;120;1;2;0;50559
s03;2;120;1;1;0;50582
s03;2;120;1;0;0;50606
s03;2;120;1;2;1;52559
s03;2;120;1;1;1;52570
s03;2;120;1;0;1;52582
s03;2;120;1;2;0;54746
s03;2;120;1;2;1;57006
s03;2;120;1;1;0;59335
s03;2;120;1;0;0;59358
s03;2;120;1;2;0;59394
s03;2;120;1;2;1;60864
s03;2;120;1;1;1;60876
s03;2;120;1;0;1;60888
s03;2;120;1;2;0;63275
s03;2;120;1;0;0;63287
s03;2;120;1;1;0;63347
s03;2;120;1;1;1;65076
s03;2;120;1;0;1;65088
s03;2;120;1;2;1;65123
s03;2;120;1;1;0;67606
s03;2;120;1;2;0;67652
s03;2;120;1;2;1;69441
s03;2;120;1;1;1;69452
s03;2;120;1;0;0;72099
s03;2;120;1;1;0;72170
s03;2;120;1;1;1;73641
s03;2;120;1;0;1;73687
s03;2;120;1;0;0;76052
s03;2;120;1;0;1;77805
s03;2;120;1;2;0;82146
s03;2;120;1;0;0;82169
s03;2;120;1;2;1;84030
s03;2;120;1;0;1;84040
s03;2;120;1;1;0;87663
s03;2;120;1;2;0;87710
s03;2;120;1;2;1;89816
s03;2;120;1;1;1;89852
s03;2;120;1;0;0;92780
s03;2;120;1;2;0;92828
s03;2;120;1;1;0;92852
s03;2;120;1;2;1;94428
s03;2;120;1;1;1;94440
s03;2;120;1;0;1;94451
s03;2;120;1;2;0;98498
s03;2;120;1;1;0;98522
s03;2;120;1;0;0;98533
s03;2;120;1;2;1;100617
s03;2;120;1;1;1;100628
s03;2;120;1;0;1;100663
s03;2;120;1;1;0;104604
s03;2;120;1;0;0;104615
s03;2;120;1;2;0;104650
s03;2;120;1;1;1;106357
s03;2;120;1;2;1;106403
s03;2;120;1;0;1;106415
s03;2;120;1;1;0;110263
s03;2;120;1;1;1;111898
s03;2;120;1;1;0;114485
s03;2;120;1;1;1;116839
s04;1;120;0;1;0;4384
s04;1;120;0;2;0;4430
s04;1;120;0;0;0;4442
s04;1;120;0;1;1;4747
s04;1;120;0;0;1;4761
s04;1;120;0;2;1;4794
s04;1;120;0;2;0;8841
s04;1;120;0;1;0;8865
s04;1;120;0;2;1;9147
s04;1;120;0;1;1;9159
s04;1;120;0;0;0;13359
s04;1;120;0;0;1;13582
s04;1;120;0;2;0;18429
s04;1;120;0;1;0;18441
s04;1;120;0;2;1;18735
s04;1;120;0;1;1;18746
s04;1;120;0;2;0;23276
s04;1;120;0;1;0;23288
s04;1;120;0;0;0;23311
s04;1;120;0;2;1;23629
s04;1;120;0;1;1;23641
s04;1;120;0;0;1;23653
s04;1;120;0;2;0;27099
s04;1;120;0;1;0;27122
s04;1;120;0;0;0;27147
s04;1;120;0;2;1;27417
s04;1;120;0;1;1;27429
s04;1;120;0;0;1;27441
s04;1;120;0;2;0;33017
s04;1;120;0;2;1;33276
s04;1;120;0;2;0;39087
s04;1;120;0;1;0;39111
s04;1;120;0;0;0;39134
s04;1;120;0;2;1;39475
s04;1;120;0;1;1;39487
s04;1;120;0;0;1;39498
s04;1;120;0;2;0;43757
s04;1;120;0;1;0;43781
s04;1;120;0;0;0;43805
s04;1;120;0;0;1;44029
s04;1;120;0;2;1;44071
s04;1;120;0;1;1;44087
s04;1;120;0;1;0;50263
s04;1;120;0;0;0;50287
s04;1;120;0;1;1;50569
s04;1;120;0;0;1;50580
s04;1;120;0;2;0;55569
s04;1;120;0;1;0;55592
s04;1;120;0;0;0;55604
s04;1;120;0;0;1;55922
s04;1;120;0;2;1;55957
s04;1;120;0;1;1;55969
s04;1;120;0;2;0;59710
s04;1;120;0;1;0;59734
s04;1;120;0;0;0;59757
s04;1;120;0;2;1;60051
s04;1;120;0;1;1;60063
s04;1;120;0;0;1;60075
s04;1;120;0;0;0;65945
s04;1;120;0;0;1;66204
s04;1;120;0;2;0;72545
s04;1;120;0;0;0;72569
s04;1;120;0;0;1;72851
s04;1;120;0;2;1;72886
s04;1;120;0;1;0;75110
s04;1;120;0;1;1;75404
s04;1;120;0;1;0;79579
s04;1;120;0;2;0;79627
s04;1;120;0;0;0;79651
s04;1;120;0;2;1;80003
s04;1;120;0;1;1;80015
s04;1;120;0;0;1;80027
s04;1;120;0;2;0;84474
s04;1;120;0;1;0;84497
s04;1;120;0;0;0;84509
s04;1;120;0;0;1;85085
s04;1;120;0;2;1;85132
s04;1;120;0;1;1;85144
s04;1;120;0;2;0;89958
s04;1;120;0;0;0;89980
s04;1;120;0;2;1;90451
s04;1;120;0;0;1;90462
s04;1;120;0;0;0;94838
s04;1;120;0;0;1;95144
s04;1;120;0;2;0;98932
s04;1;120;0;1;0;98955
